H,	M,	RANGE,	YEAR,
41571,	39742,	0 a 4,	2018,
50725,	48097,	5 a 9,	2018,
56364,	53529,	10 a 14,	2018,
56069,	52558,	15 a 19,	2018,
57351,	57030,	20 a 24,	2018,
66999,	66832,	25 a 29,	2018,
71588,	73155,	30 a 34,	2018,
87335,	86895,	35 a 39,	2018,
97904,	93951,	40 a 44,	2018,
97929,	94187,	45 a 49,	2018,
90263,	88986,	50 a 54,	2018,
73361,	74363,	55 a 59,	2018,
58563,	60808,	60 a 64,	2018,
48840,	51392,	65 a 69,	2018,
39346,	44244,	70 a 74,	2018,
26635,	32656,	75 a 79,	2018,
19405,	28310,	80 a 84,	2018,
9863,	17881,	85 a 89,	2018,
3068,	6858,	90 a 94,	2018,
638,	1750,	95 a 99,	2018,
215,	429,	100+,	2018,
41972,	40228,	0 a 4,	2017,
51756,	48951,	5 a 9,	2017,
55837,	52958,	10 a 14,	2017,
54884,	51927,	15 a 19,	2017,
57826,	56590,	20 a 24,	2017,
66342,	66665,	25 a 29,	2017,
73011,	74717,	30 a 34,	2017,
89413,	87876,	35 a 39,	2017,
99099,	94737,	40 a 44,	2017,
96193,	92614,	45 a 49,	2017,
88005,	86941,	50 a 54,	2017,
70123,	70941,	55 a 59,	2017,
56757,	58917,	60 a 64,	2017,
47336,	49950,	65 a 69,	2017,
38747,	43448,	70 a 74,	2017,
25353,	31543,	75 a 79,	2017,
19614,	28751,	80 a 84,	2017,
9124,	16555,	85 a 89,	2017,
2880,	6508,	90 a 94,	2017,
647,	1685,	95 a 99,	2017,
194,	506,	100+,	2017,
42614,	40818,	0 a 4,	2016,
53254,	50456,	5 a 9,	2016,
55656,	52787,	10 a 14,	2016,
53851,	51284,	15 a 19,	2016,
58308,	56691,	20 a 24,	2016,
66509,	67733,	25 a 29,	2016,
75795,	77376,	30 a 34,	2016,
92091,	89536,	35 a 39,	2016,
100062,	95440,	40 a 44,	2016,
94634,	91455,	45 a 49,	2016,
85770,	84592,	50 a 54,	2016,
67634,	68122,	55 a 59,	2016,
55303,	57345,	60 a 64,	2016,
46388,	49274,	65 a 69,	2016,
37799,	41766,	70 a 74,	2016,
25567,	32189,	75 a 79,	2016,
19258,	28114,	80 a 84,	2016,
8728,	15714,	85 a 89,	2016,
2809,	6267,	90 a 94,	2016,
610,	1638,	95 a 99,	2016,
198,	489,	100+,	2016,
43883,	41543,	0 a 4,	2015,
54245,	51502,	5 a 9,	2015,
55688,	52539,	10 a 14,	2015,
53017,	50698,	15 a 19,	2015,
59038,	57729,	20 a 24,	2015,
67143,	68665,	25 a 29,	2015,
79854,	80854,	30 a 34,	2015,
94591,	91056,	35 a 39,	2015,
100798,	95860,	40 a 44,	2015,
93618,	90840,	45 a 49,	2015,
83089,	81933,	50 a 54,	2015,
65523,	65609,	55 a 59,	2015,
54030,	55843,	60 a 64,	2015,
46027,	49263,	65 a 69,	2015,
37036,	40855,	70 a 74,	2015,
25386,	31937,	75 a 79,	2015,
18664,	27420,	80 a 84,	2015,
8148,	14873,	85 a 89,	2015,
2644,	5963,	90 a 94,	2015,
611,	1662,	95 a 99,	2015,
170,	459,	100+,	2015,
45168,	42858,	0 a 4,	2014,
55149,	52568,	5 a 9,	2014,
55574,	52455,	10 a 14,	2014,
52755,	50170,	15 a 19,	2014,
60338,	58860,	20 a 24,	2014,
68323,	70444,	25 a 29,	2014,
84323,	84855,	30 a 34,	2014,
97414,	92935,	35 a 39,	2014,
100813,	95858,	40 a 44,	2014,
93465,	90329,	45 a 49,	2014,
79450,	78496,	50 a 54,	2014,
63712,	64168,	55 a 59,	2014,
53321,	54744,	60 a 64,	2014,
45833,	48812,	65 a 69,	2014,
34886,	38788,	70 a 74,	2014,
26808,	33659,	75 a 79,	2014,
